"","lat","long","gear"
"1",43.1872,-75.82173333,"eDNA"
"2",43.16038333,-75.83605,"eDNA"
"3",43.16581667,-75.75986667,"eDNA"
"4",43.16621667,-75.74161667,"eDNA"
"5",43.16618333,-75.73925,"eDNA"
"6",43.19573333,-75.7271,"eDNA"
"7",43.22235,-75.769,"eDNA"
"8",43.22008333,-75.81235,"eDNA"
"9",43.22386667,-75.84168333,"eDNA"
"10",43.23081667,-75.88426667,"eDNA"
"11",43.23805,-75.92103333,"eDNA"
"13",43.20645,-75.93625,"eDNA"
"14",43.24558333,-75.99533333,"eDNA"
"15",43.24451667,-75.95275,"eDNA"
"16",43.21726667,-76.00728333,"eDNA"
"17",43.24481667,-76.09188333,"eDNA"
"18",43.24843333,-76.10768333,"eDNA"
"19",43.2536,-76.11311667,"eDNA"
"20",43.21305,-76.07471667,"eDNA"
"21",43.20008333,-76.07256667,"eDNA"
"22",43.18351667,-75.99208333,"eDNA"
"23",43.18193333,-75.98478333,"eDNA"
"24",43.17455,-75.9448,"eDNA"
"25",43.15785,-75.90003333,"eDNA"
"26",43.17358333,-75.92975,"eDNA"
"110",43.23093333,-75.88416667,"ef"
"210",43.24601667,-75.9952,"ef"
"37",43.18166667,-75.9848,"ef"
"41",43.22038333,-75.81223333,"ef"
"51",43.19995,-76.07263333,"ef"
"61",43.24508333,-76.09171667,"ef"
"71",43.1727,-75.9295,"ef"
"81",43.16551667,-75.75975,"ef"
"91",43.23851667,-75.9213,"ef"
"101",43.24453333,-75.95286667,"ef"
"111",43.17456667,-75.94496667,"ef"
"12",43.22393333,-75.8417,"ef"
"131",43.21306667,-76.07493333,"ef"
"141",43.24856667,-76.10753333,"ef"
"151",43.15783333,-75.90006667,"ef"
"161",43.16618333,-75.73925,"ef"
"112",43.16183333,-75.81788333,"fyke"
"211",43.16183333,-75.81788333,"fyke"
"38",43.15701667,-75.8922,"fyke"
"42",43.15701667,-75.8922,"fyke"
"52",43.16551667,-75.75975,"fyke"
"62",43.16551667,-75.75975,"fyke"
"72",43.22633333,-75.8576,"fyke"
"82",43.22633333,-75.8576,"fyke"
"92",43.22038333,-75.81223333,"fyke"
"102",43.22038333,-75.81223333,"fyke"
"113",43.22188333,-75.7942,"fyke"
"121",43.22188333,-75.7942,"fyke"
"132",43.23093333,-75.88416667,"fyke"
"142",43.23093333,-75.88416667,"fyke"
"152",43.24601667,-75.9952,"fyke"
"162",43.24601667,-75.9952,"fyke"
"171",43.24361667,-75.947,"fyke"
"181",43.24361667,-75.947,"fyke"
"191",43.25301667,-76.1124,"fyke"
"201",43.25301667,-76.1124,"fyke"
"212",43.24508333,-76.09171667,"fyke"
"221",43.24508333,-76.09171667,"fyke"
"231",43.24025,-76.04898333,"fyke"
"241",43.24025,-76.04898333,"fyke"
"251",43.21963333,-76.08771667,"fyke"
"261",43.21963333,-76.08771667,"fyke"
"27",43.19995,-76.07263333,"fyke"
"28",43.19995,-76.07263333,"fyke"
"29",43.17991667,-76.00253333,"fyke"
"30",43.17991667,-76.00253333,"fyke"
"31",43.16986667,-75.92108333,"fyke"
"32",43.16986667,-75.92108333,"fyke"
"33",43.18166667,-75.9848,"fyke"
"34",43.18166667,-75.9848,"fyke"
"35",43.1727,-75.9295,"fyke"
"36",43.1727,-75.9295,"fyke"
"114",43.23166667,-76.04833333,"gillnet"
"213",43.22148333,-75.96908333,"gillnet"
"39",43.17961667,-75.92885,"gillnet"
"43",43.20308333,-75.94108333,"gillnet"
"53",43.187,-75.9577,"gillnet"
"63",43.17021667,-75.91046667,"gillnet"
"73",43.20616667,-75.97166667,"gillnet"
"83",43.18621667,-75.81483333,"gillnet"
"93",43.22866667,-75.89125,"gillnet"
"103",43.21616667,-75.80996667,"gillnet"
"115",43.22335,-76.05565,"gillnet"
"122",43.17455,-75.7837,"gillnet"
"133",43.20803333,-76.0252,"gillnet"
"143",43.2335,-75.93683333,"gillnet"
"153",43.16203333,-75.84458333,"gillnet"
"116",43.18118333,-75.95891667,"seine"
"214",43.18093333,-75.95826667,"seine"
"310",43.18031667,-75.95905,"seine"
"44",43.17003333,-75.92338333,"seine"
"54",43.17008333,-75.92535,"seine"
"64",43.17036667,-75.92503333,"seine"
"74",43.17035,-75.92351667,"seine"
"84",43.17261667,-75.93041667,"seine"
"94",43.1722,-75.9301,"seine"
